FLT_DPT_DT,CARRIER_CD,FLT_NBR,ORIG_AIRPORT_CD,DEST_AIRPORT_CD,SUB_CLASS_CD,CLASS_CD,CLASS_BOOKED_QTY,CREATE_DTTM,UPDATE_DTTM,SEAT_CABIN_LAYOUT,AIRCRAFT_TYPE_CD,LEG_IND,LANE_SEG_NBR,ETL_PROC_DT
2022/12/12 00:00:00.000000000,MF,8309,TAO,CSX,Q,Y,2,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,Y183,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4871,TAO,CSX,B,Y,0,2022/11/12 05:54:07.000000000,2022/12/11 23:54:08.000000000,C8Y150,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,CZ,3938,TAO,CSX,K,Y,0,2022/11/12 05:54:07.000000000,2022/12/09 23:54:07.000000000,J4W23Y138,32H,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,MF,8310,CSX,TAO,Y,Y,0,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,Y183,738,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,CZ,3938,TAO,CSX,C,J,0,2022/11/12 05:54:07.000000000,2022/12/09 23:54:07.000000000,J4W23Y138,32H,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4872,CSX,TAO,T,Y,0,2022/11/12 05:54:07.000000000,2022/12/11 23:54:08.000000000,C8Y159,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,MF,8310,CSX,TAO,R,Y,0,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,Y183,738,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,CZ,3937,CSX,TAO,W,W,0,2022/11/12 05:54:07.000000000,2022/12/09 23:54:07.000000000,J4W23Y138,32H,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4872,CSX,TAO,A,Y,0,2022/11/12 05:54:07.000000000,2022/12/11 23:54:08.000000000,C8Y159,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,MF,8309,TAO,CSX,L,Y,0,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,Y183,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,MF,8310,CSX,TAO,L,Y,0,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,Y183,738,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,CZ,3937,CSX,TAO,T,Y,28,2022/11/12 05:54:07.000000000,2022/12/09 23:54:07.000000000,J4W23Y138,32H,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,HO,1932,TAO,CSX,D,J,0,2022/11/12 05:54:07.000000000,2022/11/24 23:54:07.000000000,J8Y155,32N,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,CZ,3938,TAO,CSX,W,W,0,2022/11/12 05:54:07.000000000,2022/12/09 23:54:07.000000000,J4W23Y138,32H,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4871,TAO,CSX,A,Y,0,2022/11/12 05:54:07.000000000,2022/12/11 23:54:08.000000000,C8Y150,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4873,TAO,CSX,P,C,0,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,C8W17Y141,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4872,CSX,TAO,Z,Y,0,2022/11/12 05:54:07.000000000,2022/12/11 23:54:08.000000000,C8Y159,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4874,CSX,TAO,S,Y,1,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,C8W17Y150,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,HO,1932,TAO,CSX,K,Y,0,2022/11/12 05:54:07.000000000,2022/11/24 23:54:07.000000000,J8Y155,32N,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,MF,8309,TAO,CSX,N,Y,0,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,Y183,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4871,TAO,CSX,U,Y,0,2022/11/12 05:54:07.000000000,2022/12/11 23:54:08.000000000,C8Y150,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,CZ,3938,TAO,CSX,E,Y,0,2022/11/12 05:54:07.000000000,2022/12/09 23:54:07.000000000,J4W23Y138,32H,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,HO,1932,TAO,CSX,J,J,0,2022/11/12 05:54:07.000000000,2022/11/24 23:54:07.000000000,J8Y155,32N,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,HO,1932,TAO,CSX,Y,Y,0,2022/11/12 05:54:07.000000000,2022/11/24 23:54:07.000000000,J8Y155,32N,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,HO,1932,TAO,CSX,L,Y,0,2022/11/12 05:54:07.000000000,2022/11/24 23:54:07.000000000,J8Y155,32N,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,CZ,3937,CSX,TAO,O,J,0,2022/11/12 05:54:07.000000000,2022/12/09 23:54:07.000000000,J4W23Y138,32H,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4874,CSX,TAO,A,Y,0,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,C8W17Y150,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,HO,1932,TAO,CSX,W,Y,0,2022/11/12 05:54:07.000000000,2022/11/24 23:54:07.000000000,J8Y155,32N,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4873,TAO,CSX,B,Y,0,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,C8W17Y141,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4874,CSX,TAO,T,Y,25,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,C8W17Y150,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,CZ,3937,CSX,TAO,S,W,0,2022/11/12 05:54:07.000000000,2022/12/09 23:54:07.000000000,J4W23Y138,32H,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,HO,1932,TAO,CSX,I,J,0,2022/11/12 05:54:07.000000000,2022/11/24 23:54:07.000000000,J8Y155,32N,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,HO,1931,CSX,TAO,I,J,0,2022/11/12 05:54:07.000000000,2022/11/24 23:54:07.000000000,J8Y155,32N,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4871,TAO,CSX,O,Y,0,2022/11/12 05:54:07.000000000,2022/12/11 23:54:08.000000000,C8Y150,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,MF,8309,TAO,CSX,X,Y,0,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,Y183,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4872,CSX,TAO,O,Y,0,2022/11/12 05:54:07.000000000,2022/12/11 23:54:08.000000000,C8Y159,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,CZ,3937,CSX,TAO,X,Y,0,2022/11/12 05:54:07.000000000,2022/12/09 23:54:07.000000000,J4W23Y138,32H,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4873,TAO,CSX,W,W,2,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,C8W17Y141,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,CZ,3938,TAO,CSX,T,Y,14,2022/11/12 05:54:07.000000000,2022/12/09 23:54:07.000000000,J4W23Y138,32H,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,MF,8310,CSX,TAO,V,Y,0,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,Y183,738,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,CZ,3938,TAO,CSX,J,J,0,2022/11/12 05:54:07.000000000,2022/12/09 23:54:07.000000000,J4W23Y138,32H,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4873,TAO,CSX,A,Y,0,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,C8W17Y141,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,CZ,3937,CSX,TAO,V,Y,0,2022/11/12 05:54:07.000000000,2022/12/09 23:54:07.000000000,J4W23Y138,32H,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,MF,8309,TAO,CSX,S,Y,0,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,Y183,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,CZ,3937,CSX,TAO,C,J,0,2022/11/12 05:54:07.000000000,2022/12/09 23:54:07.000000000,J4W23Y138,32H,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4872,CSX,TAO,N,Y,1,2022/11/12 05:54:07.000000000,2022/12/11 23:54:08.000000000,C8Y159,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,HO,1931,CSX,TAO,U,Y,0,2022/11/12 05:54:07.000000000,2022/11/24 23:54:07.000000000,J8Y155,32N,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,CZ,3937,CSX,TAO,J,J,0,2022/11/12 05:54:07.000000000,2022/12/09 23:54:07.000000000,J4W23Y138,32H,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,HO,1932,TAO,CSX,T,Y,0,2022/11/12 05:54:07.000000000,2022/11/24 23:54:07.000000000,J8Y155,32N,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4873,TAO,CSX,Z,Y,74,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,C8W17Y141,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,HO,1931,CSX,TAO,X,Y,0,2022/11/12 05:54:07.000000000,2022/11/24 23:54:07.000000000,J8Y155,32N,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4873,TAO,CSX,J,Y,5,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,C8W17Y141,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,MF,8310,CSX,TAO,Q,Y,0,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,Y183,738,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,CZ,3938,TAO,CSX,L,Y,0,2022/11/12 05:54:07.000000000,2022/12/09 23:54:07.000000000,J4W23Y138,32H,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,CZ,3938,TAO,CSX,Z,Y,3,2022/11/12 05:54:07.000000000,2022/12/09 23:54:07.000000000,J4W23Y138,32H,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4872,CSX,TAO,P,C,0,2022/11/12 05:54:07.000000000,2022/12/11 23:54:08.000000000,C8Y159,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,CZ,3938,TAO,CSX,P,Y,0,2022/11/12 05:54:07.000000000,2022/12/09 23:54:07.000000000,J4W23Y138,32H,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4872,CSX,TAO,V,Y,3,2022/11/12 05:54:07.000000000,2022/12/11 23:54:08.000000000,C8Y159,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,CZ,3938,TAO,CSX,I,J,1,2022/11/12 05:54:07.000000000,2022/12/09 23:54:07.000000000,J4W23Y138,32H,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,HO,1932,TAO,CSX,U,Y,0,2022/11/12 05:54:07.000000000,2022/11/24 23:54:07.000000000,J8Y155,32N,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,MF,8310,CSX,TAO,H,Y,0,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,Y183,738,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,HO,1931,CSX,TAO,N,Y,0,2022/11/12 05:54:07.000000000,2022/11/24 23:54:07.000000000,J8Y155,32N,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,MF,8309,TAO,CSX,H,Y,0,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,Y183,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,HO,1931,CSX,TAO,Y,Y,0,2022/11/12 05:54:07.000000000,2022/11/24 23:54:07.000000000,J8Y155,32N,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4871,TAO,CSX,E,Y,0,2022/11/12 05:54:07.000000000,2022/12/11 23:54:08.000000000,C8Y150,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4871,TAO,CSX,D,C,0,2022/11/12 05:54:07.000000000,2022/12/11 23:54:08.000000000,C8Y150,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,MF,8310,CSX,TAO,G,Y,0,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,Y183,738,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,HO,1932,TAO,CSX,V,Y,0,2022/11/12 05:54:07.000000000,2022/11/24 23:54:07.000000000,J8Y155,32N,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,HO,1932,TAO,CSX,X,Y,0,2022/11/12 05:54:07.000000000,2022/11/24 23:54:07.000000000,J8Y155,32N,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,MF,8310,CSX,TAO,T,Y,0,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,Y183,738,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,HO,1931,CSX,TAO,A,J,0,2022/11/12 05:54:07.000000000,2022/11/24 23:54:07.000000000,J8Y155,32N,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4871,TAO,CSX,Q,Y,0,2022/11/12 05:54:07.000000000,2022/12/11 23:54:08.000000000,C8Y150,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,HO,1931,CSX,TAO,Q,Y,0,2022/11/12 05:54:07.000000000,2022/11/24 23:54:07.000000000,J8Y155,32N,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,MF,8310,CSX,TAO,E,Y,0,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,Y183,738,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4871,TAO,CSX,C,C,0,2022/11/12 05:54:07.000000000,2022/12/11 23:54:08.000000000,C8Y150,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,CZ,3937,CSX,TAO,R,Y,1,2022/11/12 05:54:07.000000000,2022/12/09 23:54:07.000000000,J4W23Y138,32H,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4872,CSX,TAO,H,Y,0,2022/11/12 05:54:07.000000000,2022/12/11 23:54:08.000000000,C8Y159,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,HO,1931,CSX,TAO,H,Y,0,2022/11/12 05:54:07.000000000,2022/11/24 23:54:07.000000000,J8Y155,32N,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4873,TAO,CSX,I,C,0,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,C8W17Y141,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4873,TAO,CSX,S,Y,4,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,C8W17Y141,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,MF,8309,TAO,CSX,U,Y,0,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,Y183,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,CZ,3937,CSX,TAO,D,J,0,2022/11/12 05:54:07.000000000,2022/12/09 23:54:07.000000000,J4W23Y138,32H,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,HO,1932,TAO,CSX,S,Y,0,2022/11/12 05:54:07.000000000,2022/11/24 23:54:07.000000000,J8Y155,32N,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,MF,8309,TAO,CSX,Y,Y,0,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,Y183,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4874,CSX,TAO,U,Y,2,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,C8W17Y150,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,HO,1931,CSX,TAO,W,Y,0,2022/11/12 05:54:07.000000000,2022/11/24 23:54:07.000000000,J8Y155,32N,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4874,CSX,TAO,J,Y,1,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,C8W17Y150,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4871,TAO,CSX,L,Y,0,2022/11/12 05:54:07.000000000,2022/12/11 23:54:08.000000000,C8Y150,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,HO,1932,TAO,CSX,M,Y,0,2022/11/12 05:54:07.000000000,2022/11/24 23:54:07.000000000,J8Y155,32N,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,HO,1931,CSX,TAO,M,Y,0,2022/11/12 05:54:07.000000000,2022/11/24 23:54:07.000000000,J8Y155,32N,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,CZ,3937,CSX,TAO,L,Y,0,2022/11/12 05:54:07.000000000,2022/12/09 23:54:07.000000000,J4W23Y138,32H,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4874,CSX,TAO,B,Y,0,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,C8W17Y150,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,MF,8309,TAO,CSX,K,Y,0,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,Y183,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4874,CSX,TAO,H,Y,0,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,C8W17Y150,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4872,CSX,TAO,X,Y,0,2022/11/12 05:54:07.000000000,2022/12/11 23:54:08.000000000,C8Y159,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,CZ,3938,TAO,CSX,O,J,0,2022/11/12 05:54:07.000000000,2022/12/09 23:54:07.000000000,J4W23Y138,32H,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4873,TAO,CSX,Q,Y,0,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,C8W17Y141,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,HO,1931,CSX,TAO,J,J,0,2022/11/12 05:54:07.000000000,2022/11/24 23:54:07.000000000,J8Y155,32N,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,MF,8309,TAO,CSX,V,Y,24,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,Y183,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,HO,1931,CSX,TAO,D,J,0,2022/11/12 05:54:07.000000000,2022/11/24 23:54:07.000000000,J8Y155,32N,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4873,TAO,CSX,L,Y,0,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,C8W17Y141,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,CZ,3937,CSX,TAO,M,Y,0,2022/11/12 05:54:07.000000000,2022/12/09 23:54:07.000000000,J4W23Y138,32H,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4871,TAO,CSX,G,Y,0,2022/11/12 05:54:07.000000000,2022/12/11 23:54:08.000000000,C8Y150,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,MF,8310,CSX,TAO,U,Y,0,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,Y183,738,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,CZ,3937,CSX,TAO,P,Y,0,2022/11/12 05:54:07.000000000,2022/12/09 23:54:07.000000000,J4W23Y138,32H,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4871,TAO,CSX,K,Y,0,2022/11/12 05:54:07.000000000,2022/12/11 23:54:08.000000000,C8Y150,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4873,TAO,CSX,M,Y,2,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,C8W17Y141,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,CZ,3938,TAO,CSX,U,Y,0,2022/11/12 05:54:07.000000000,2022/12/09 23:54:07.000000000,J4W23Y138,32H,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4872,CSX,TAO,E,Y,0,2022/11/12 05:54:07.000000000,2022/12/11 23:54:08.000000000,C8Y159,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4872,CSX,TAO,M,Y,0,2022/11/12 05:54:07.000000000,2022/12/11 23:54:08.000000000,C8Y159,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,MF,8310,CSX,TAO,K,Y,0,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,Y183,738,0,3,2022/12/14 16:49:40.000000000
